post_id,post_text,date,writer,label
10158396814067076,שמרו על הבריאות. שבת שלום! 🇮🇱❤️,2021-07-30 18:16:03,Benjamin Netanyahu - בנימין נתניהו,REAL
10158396550807076,קיבלתי את החיסון השלישי ואני קורא לכולכם - צאו להתחסן ויחד נציל חיים!,2021-07-30 14:45:42,Benjamin Netanyahu - בנימין נתניהו,REAL
10158396447967076,"קיבלתי את החיסון השלישי. אני קורא כבר חודש וחצי להביא לישראל את החיסונים שכבר הזמנו ושילמנו עבורם. בכל זאת - מוטב מאוחר מאף פעם. לכו להתחסן! פעם שלישית, גלידה 💪🇮🇱",2021-07-30 13:22:01,Benjamin Netanyahu - בנימין נתניהו,REAL
979631179503137,מקבל את החיסון השלישי. שידור חי,2021-07-30 12:55:48,Benjamin Netanyahu - בנימין נתניהו,REAL
10158396329597076,"״בשלושת השבועות האחרונים שלא נעשה בהם דבר למעט חגיגות ""התו השמח"", התחלואה הוכפלה פי שלושה. ולמען הסר ספר, בכל הפרמטרים. מאומתים חדשים, מאושפזים, חולים קשים ומונשמים״",2021-07-30 11:03:03,Benjamin Netanyahu - בנימין נתניהו,FAKE
10158395392517076,תודה לכם. אוהב אתכם. לכו להתחסן! 🙏🏻🇮🇱,2021-07-29 21:38:33,Benjamin Netanyahu - בנימין נתניהו,REAL
1282708785510184,"שידור חי מדימונה, חוגגים את הסכם השלום עם מרוקו",2021-07-29 19:13:57,Benjamin Netanyahu - בנימין נתניהו,FAKE
10158395179967076,"הממשלה בזבזה זמן יקר בהבאת החיסון השלישי. כבר 6 שבועות אני קורא להם להביא לישראל את החיסונים שכבר הזמנו. במשך שבועות ארוכים הם לא עשו כלום. זה מחדל שעלה בחיי אדם!  עכשיו צריך לעשות דבר אחד — ללכת להתחסן מייד, וכך גם אני אעשה בהקדם.",2021-07-29 19:05:25,Benjamin Netanyahu - בנימין נתניהו,FAKE
10158394907477076,הממשלה מעלה את מחירי החשמל.  הממשלה מעלה את מחירי המשקאות הקלים.  הממשלה מעלה את מחירי הבריאות.  הממשלה מעלה מיסים.  למה האזרחים צריכים לממן את בזבוזי הממשלה ואת 50 המיליארד שהם נתנו למנסור עבאס?,2021-07-29 15:44:34,Benjamin Netanyahu - בנימין נתניהו,FAKE
10158391796672076,"מחדל ענק!  אנחנו התרענו מראש על הצורך הדחוף בחיסון שלישי ולפיד ובנט היו עוסקים: בנורווגי, שוחד בחירות לעבאס ובתוכים.  המחדל הזה יכול לעלות לנו בחיי אדם!",2021-07-27 21:06:29,Benjamin Netanyahu - בנימין נתניהו,FAKE
